website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://www.rainiercrossfit.com/,https://profilepicsbucket.crossfit.com/33b4a-A926_2-184.jpg,1,189,47.130593,-122.17168,Bonney Lake,rainier,2,98391,US,0,2004-06-03T07:00:00Z,0,13808 Overlook Dr East,1,WA,0,1,Rainier CrossFit,United States,Commercial,926,Washington
http://www.crossfitportland.com/,https://profilepicsbucket.crossfit.com/e1ee2-A872_2-184.jpg,1,208,45.489161,-122.731746,Portland,crossfit,2,97221,US,0,2005-03-17T08:00:00Z,0,4721 SW 53rd Ave,1,OR,1,0,CrossFit Portland,United States,Commercial,872,Oregon
http://www.hyperfitusa.com/,https://profilepicsbucket.crossfit.com/d832e-A781_2-184.jpg,1,194,42.20662815225913,-83.48257285461962,Belleville,crossfit,2,48111,US,0,2005-04-01T08:00:00Z,0,259 East Huron River Dr,1,MI,1,0,CrossFit Ann Arbor,United States,Commercial,781,Michigan
http://www.crossfitnyc.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,199,40.7457263,-73.990086,New York,crossfit,0,10001,US,0,2005-07-04T07:00:00Z,0,50 West 28th Street,1,NY,1,0,CrossFit NYC,United States,Commercial,837,New York
http://www.TeamCrossFitAcademy.com,https://profilepicsbucket.crossfit.com/63134-A892_3-184.jpg,1,201,34.095554,-117.830526,San Dimas,team,3,91773,US,0,2005-07-05T07:00:00Z,0,1171 Coventry Ct.,1,CA,0,0,Team CrossFit Academy,United States,Commercial,892,California
http://www.crossfitgymert.nl/,https://profilepicsbucket.crossfit.com/pukie.png,1,203,51.561506929548955,5.716356110602334,Gemert,crossfit,0,5421 WW,NL,0,2005-07-17T07:00:00Z,0,Rechteloop 10,1,,1,0,CrossFit Gymert,Netherlands,Commercial,834,
http://www.crossfitlondonuk.com/,https://profilepicsbucket.crossfit.com/17008-A825_2-184.jpg,1,200,51.522372,-0.055987,Bethnal Green,crossfit,2,E1 5QT,GB,0,2005-07-18T07:00:00Z,0,Arch A-D & 30, 150 Buckhurst St,1,,1,1,CrossFit London UK,United Kingdom,Commercial,825,
http://www.crossfitboston.com/,https://profilepicsbucket.crossfit.com/e1c40-A784_2-184.jpg,1,204,42.35940397155997,-71.13858687522597,Brighton,crossfit,2,02135,US,0,2005-08-12T07:00:00Z,0,100 Holton Street Rear,1,MA,1,0,CrossFit Boston,United States,Commercial,784,Massachusetts
http://www.crossfitoakland.com/,https://profilepicsbucket.crossfit.com/39a07-A839_4-184.jpg,1,210,37.8490377,-122.2911256,Emeryville,crossfit,4,94608,US,0,2005-10-01T07:00:00Z,0,1313 67th Street,1,CA,1,0,CrossFit Oakland,United States,Commercial,839,California
http://www.crossfitdc.com/,https://profilepicsbucket.crossfit.com/5307b-A791_3-184.jpg,1,218,38.9172614,-77.0350063,Washington,crossfit,3,20009,US,0,2005-11-18T08:00:00Z,0,1507 U St NW,1,DC,1,0,CrossFit DC,United States,Commercial,791,District Of Columbia
http://www.crossfitchulavista.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,219,32.6533423,-116.9672588,Chula Vista,crossfit,0,91914,US,0,2005-11-25T08:00:00Z,0,821 Kuhn Dr. Suite 106,1,CA,1,0,CrossFit Chula Vista,United States,Commercial,790,California
http://www.crossfitcentral.com/,https://profilepicsbucket.crossfit.com/69fe8-A786_5-184.jpg,1,216,30.337216,-97.73895,Austin,crossfit,5,78757,US,0,2005-12-02T08:00:00Z,0,6205-A Burnet Rd.,1,TX,1,0,CrossFit Central,United States,Commercial,786,Texas
http://crossfitmontreal.ca/,https://profilepicsbucket.crossfit.com/pukie.png,1,228,45.4697146,-73.5876374,Montreal,crossfit,0,H4C 3N8,CA,0,2005-12-20T08:00:00Z,0,4850 Saint-Ambroise suite 100,1,QC,1,0,CrossFit Montreal,Canada,Commercial,833,Quebec
http://www.crossfitdenver.com/,https://profilepicsbucket.crossfit.com/39a1b-A792_2-184.jpg,1,222,39.6918464,-104.9920627,Denver,crossfit,2,80223,US,0,2005-12-31T08:00:00Z,0,1380 South Sante Fe Drive,1,CO,1,0,CrossFit Denver,United States,Commercial,792,Colorado
http://www.crossfitstamford.com/,https://profilepicsbucket.crossfit.com/862a6-A884_3-184.jpg,1,229,41.0405741,-73.5503435,Stamford,crossfit,3,06902,US,0,2006-03-01T08:00:00Z,0,75 Selleck Street,1,CT,1,0,CrossFit Stamford,United States,Commercial,884,Connecticut
http://www.crossfitmissoula.com/,https://profilepicsbucket.crossfit.com/cf398-A779_4-184.jpg,1,230,46.867298,-114.015824,Missoula,crossfit,4,59801,US,0,2006-03-10T08:00:00Z,0,1290-B South 3rd Street West,1,MT,1,0,CrossFit Missoula,United States,Commercial,779,Montana
http://www.northshorecrossfit.com,https://profilepicsbucket.crossfit.com/60829-A886_2-184.jpg,1,236,42.54316,-70.9215021,Danvers,north,2,01960,US,0,2006-03-26T08:00:00Z,0,121 Liberty Street,1,MA,1,0,North Shore CrossFit,United States,Commercial,886,Massachusetts
http://crossfitpittsburgh.com/,https://profilepicsbucket.crossfit.com/95d8e-A870_5-184.jpg,1,233,40.4581984,-79.9110232,Pittsburgh,crossfit,5,15206,US,0,2006-04-01T08:00:00Z,0,6595 Hamilton Avenue,1,PA,1,0,CrossFit Pittsburgh,United States,Commercial,870,Pennsylvania
http://www.crossfitsantiago.com/,https://profilepicsbucket.crossfit.com/df569-A880_7-184.jpg,1,238,-33.432895,-70.6660486,Santiago Centro,crossfit,7,,CL,0,2006-04-05T07:00:00Z,0,Andes #2072,1,,1,1,CrossFit Santiago,Chile,Commercial,880,
http://www.frontrangecrossfit.com/,https://profilepicsbucket.crossfit.com/5d5ad-A921_2-184.jpg,1,234,39.69246,-104.89048,Denver,front,2,80247,US,0,2006-04-20T07:00:00Z,0,1338 South Valentia St, Unit 180-182,1,CO,1,1,Front Range CrossFit,United States,Commercial,921,Colorado
http://www.crossfitcalgary.ca/,https://profilepicsbucket.crossfit.com/7af1e-A785_2-184.jpg,1,253,51.1258027,-114.2079333,Calgary,crossfit,2,T3G 4B7,CA,0,2006-04-29T07:00:00Z,0,#17 141 Crowfoot Way NW,1,AB,1,1,CrossFit Calgary,Canada,Commercial,785,Alberta
http://crossfitnq.com.au/,https://profilepicsbucket.crossfit.com/83ea6-A893_1-184.jpg,1,237,-19.26602,146.786637,Townsville,crossfit,1,4810,AU,0,2006-05-03T07:00:00Z,0,Unit 7, 197 Ingham Rd, West End,1,QLD,1,1,CrossFit North Queensland,Australia,Commercial,893,Queensland
http://www.crossfitwestside.com/,https://profilepicsbucket.crossfit.com/dc417-A894_4-184.jpg,1,244,49.262591,-123.109489,Vancouver,crossfit,4,V5Y 3E9,CA,0,2006-05-08T07:00:00Z,0,2520 Columbia Street,1,BC,1,0,CrossFit Westside,Canada,Commercial,894,British Columbia
http://www.crossfitsydney.com.au/,https://profilepicsbucket.crossfit.com/332dc-A885_2-184.jpg,1,239,-33.9025625,151.198588,Alexandria,crossfit,2,2015,AU,0,2006-05-11T07:00:00Z,0,32 McCauley Street,1,NSW,1,0,CrossFit Sydney,Australia,Commercial,885,New South Wales
http://www.crossfitfairfax.com/,https://profilepicsbucket.crossfit.com/0e926-A819_2-184.jpg,1,240,38.8774102,-77.2337168,Fairfax,crossfit,2,22031,US,0,2006-05-14T07:00:00Z,0,2831 Dorr Ave,1,VA,1,1,CrossFit Fairfax,United States,Commercial,819,Virginia
http://www.crossfitsacramento.com/,https://profilepicsbucket.crossfit.com/7f13b-A876_1-184.jpg,1,248,38.5858741,-121.4014944,Sacramento,crossfit,1,95825,US,0,2006-05-26T07:00:00Z,0,1146 Fulton Ave,1,CA,1,0,CrossFit Sacramento,United States,Commercial,876,California
http://www.crossfitmelbourne.com.au/,https://profilepicsbucket.crossfit.com/71843-A830_2-184.jpg,1,268,-37.8876043,145.0278334,Caulfield South,crossfit,2,3162,AU,0,2006-07-13T07:00:00Z,0,First floor, 904 Glen Huntly Rd,1,VIC,1,0,CrossFit Melbourne,Australia,Commercial,830,Victoria
http://www.diablocrossfit.com/,https://profilepicsbucket.crossfit.com/de3b4-A793_10-184.jpg,1,251,37.942488,-122.053063,Pleasant Hill,diablo,10,94523,US,0,2006-07-21T07:00:00Z,0,2447 Estand Way,1,CA,1,1,Diablo CrossFit,United States,Commercial,793,California
